---- start log ----
---- start log ----
frame_33b94b4463f811e564f2084d5fcdab2e_5dd58b0e0c11086e6e9f24733614f441_30000-1280_720	day->Night [45.0]
frame_4ba2e6ccc8d008feb37363f48120b4f9_cb62d30a9d2a1222ae81cd81697ee2bb_0-1280_720	day->Twilight [67.0]
frame_b47ecd0546dae2dbc5ee6dddc21a6220_5a24a4c71cbbd3831ea04297ac37a27d_0-1280_720	day->Night [5.0]
frame_22f6a3cbf12b1d8e222dd087b9c6557a_f56f660df592b32ffb1a7bc25a7bfa39_60000-1280_720	day->Twilight [62.0]
frame_e4cfe5f65bce362eb008a02b01e15846_c0921132dc42f67dc0352947f6f4ccf8_30000-1280_720	day->Twilight [62.0]
frame_4f637d470e64faf86da73981be6eab5b_17091b2ef94c705dd8526baecf58e1b2_90000-1280_720	day->Night [54.0]
frame_53d4b38ab174af8801cba6b1ce03561a_75100afeb1deb8079f0069a5205e5920_60000-1280_720	day->Twilight [65.0]
frame_313996cdf668504850d5a04ccca672b6_f3f9fe07fa1cf0c8ce96dcb67ec6993f_60000-1280_720	day->Night [51.0]
frame_60f492e6550064a50fce8f16a891702e_a5b3578c4b49651df863f9c56468552e_30000-1280_720	day->Twilight [65.0]
frame_aed7da2088e53b16d3ae58fffbd3bc30_180cc7d855bfd521aa8348d66b632c01_90000-1280_720	day->Twilight [66.0]
frame_76b4b46d-cca2-40ed-8cf7-87ab187d2494_00003-1280_720	day->Night [53.0]
frame_4f1e5747e34dae8470b600aff3da86fd_d67afb1e6cd3aa1cbc43706efa34b3ae_30000-1280_720	day->Night [56.0]
frame_60561622d19118f7b496707d2419c30f_ea683477e3f0f83fb6d5ea0d20951598_90000-1280_720	day->Night [14.0]
frame_d02920dee09a98d6ebcf234881d496de_29f580a9f26e1131fe45d2bbd3340264_30000-1280_720	day->Twilight [64.0]
frame_4e8bc43112e87122c57812a2a8c82c7a_6f13c4babf8ed063cc131182d8b5dd64_90000-1280_720	day->Night [54.0]
frame_3f31f83e04bcb7c3f4b9c1d2f07adc4c_6a9bd1433c34174bec0ad6839b543a51_0-1280_720	day->Night [38.0]
frame_1b61031d8ce6a39fd30bb7bf2c2c2aee_1e57a028dcd1b38a99fb696bd5362158_90000-1280_720	day->Twilight [67.0]
frame_1862f45948ac2a572d7374bc45e28192_b5e506c3e40384b987a32d23269c4478_0-1280_720	day->Night [54.0]
frame_41c9592341345f65c3324aa7dc579496_514f28dd940b3e781541ba4f7d78ef41_90000-1280_720	day->Twilight [66.0]
frame_ff76fba15e5316a437ba255c1efd88b9_37b5b4c642c7eaf1c23f0fbe26085f9c_0-1280_720	day->Twilight [67.0]
frame_9688193e287cf9d12496dfcaa0ed3150_2ba9994dfeb9b174be9aa1c418f6746d_60000-1280_720	day->Twilight [67.0]
frame_b77002d9-f29f-4269-9401-1898e727b5b1_00002-1280_720	day->Twilight [68.0]
frame_93d3c67c-df3d-4cca-aa6b-5ea2d521fd98_00001-1280_720	day->Twilight [67.0]
frame_313996cdf668504850d5a04ccca672b6_d65ead2171c2d85a79c23343da11c052_30000-1280_720	day->Night [47.0]
frame_d8f4cd784909c59e8db4e9810846fb5f_bc59a945836468b8473e8683c7110e24_0-1280_720	day->Night [59.0]
frame_1ca0591b3f04b49bdb7b4dd8d8b4f968_d5497cc205cc6d9e47c975b428357a16_90000-1280_720	day->Twilight [63.0]
frame_2faa6a3c208f67771335dd0945faa917_0015644aff4b38c63f907ece989a2077_90000-1280_720	day->Twilight [68.0]
frame_2be236815842a1108ca562226697269e_b012c61ecd93fc97446dc8c5608751cf_90000-1280_720	day->Twilight [67.0]
frame_0f2baf628f4215f38f3dbf3c3af1d541_1b4cad6c349ded12a3a38b3f6cf947c8_30000-1280_720	day->Twilight [64.0]
frame_52fde2f0ac948a4e785d2d851ee0c7cc_c53afd833e7c97a2dd5731e1d3a5b82a_90000-1280_720	day->Twilight [61.0]
---- start log ----
frame_30d21e7dccdd0b594ca86d525e4b0881_fb7beb88144d2a35cd2ba4c7b741fe24_0-1280_720	night->Day [85.0]
frame_be39583e78cc2bdb510c9bfcdb5dea5a_76a564a516a18d7a06025f7f8afdb7b1_0-1280_720	night->Twilight [66.0]
frame_9231ab4f4aba670cbbaa0f05da99a70f_9f3010b31997f8280ba4ea12994fc913_60000-1280_720	night->Twilight [63.0]
frame_9d722bec96ddeeb568cd98859e5199ec_a7666fa8f0e6933f2ad109fd2cc7fb0b_90000-1280_720	night->Day [94.0]
frame_e353e766aac9d5b51c0a18a6d5d502b1_45a81a5ddf2ea7d7883996288106b2dd_0-1280_720	night->Day [98.0]
frame_46f73e42d178f5a358960964a2b62a02_2137562b3614878de0c81f99cfd33bc6_30000-1280_720	night->Twilight [60.0]
frame_33ce7214507e896d28b8e1ef979411e5_d0424dcd258b68193c28a0fa1215ce53_30000-1280_720	night->Day [87.0]
frame_38f13729e53420984116caf92c89212c_2b06090801a644cc45b5ecaac202361d_90000-1280_720	night->Day [114.0]
frame_4e1a8e4cba81bba5d7030565c1496dcb_1380812744afbc766ec685ba718f9d00_60000-1280_720	night->Day [79.0]
frame_6798beac2254b128cbd7433f8814a425_2ca4839cdd3b5cd1fc226adf04afed1e_90000-1280_720	night->Twilight [63.0]
frame_658e3bcf9c5d9808c6b4b404bfcac9ac_77ced6d0dc3c2491d407dc0b25d0a153_90000-1280_720	night->Day [130.0]
frame_77fc2e78a6270bbec74eda986122cf42_38bb2402939ea2f62d75a4e52aeaaa8c_90000-1280_720	night->Day [80.0]
frame_280b4ab056a2b10d5119545c9fc4c5bf_8a7c61552847ffcb8b0197a9efcdf32f_30000-1280_720	night->Day [106.0]
frame_632d83335c86d5bf4c50b8f7cbff1a36_ede5e27bc3c0229ed24eb0a4c338369b_60000-1280_720	night->Day [100.0]
frame_b8a2abeb78b5e8fd2b5da46ff487439b_69d0833b6a93512603e22c1d88d0d028_0-1280_720	night->Day [73.0]
frame_0b2031b93ec8eeb41fb163815708961f_70e9e66684a05b86a7d30d51ce1ad3c7_0-1280_720	night->Day [71.0]
frame_6b32b5c50a3ac0ba543a54d06ba715fa_da6757b160a34c481cbbd99b0ff50144_60000-1280_720	night->Day [115.0]
frame_f8cf1c8fbbd2a088caff177b6d523778_5ab1edc6d8228732fbba95f08ee56452_90000-1280_720	night->Day [108.0]
frame_d00d6cfef9dabd2cb5b103a467275883_ee97e0d9010de3eadda7d46535460729_90000-1280_720	night->Day [89.0]
frame_482783f8523641557635334f6643a319_8e7f87afa8a98cec375266be52589ecf_60000-1280_720	night->Day [96.0]
frame_71a5c5ab3820ed4c056252083fcf276f_b8807f8a54f26bede803c13903d0d737_30000-1280_720	night->Day [115.0]
frame_0cc2df5de90499b0aef0c0e653f42e84_807a9552bf4f6a53f591956475d9ecb9_30000-1280_720	night->Day [83.0]
frame_49520705ef8bc7ed1f4463c242b075e6_a7ff06db1048611f7b4d9e1e78f27c0c_0-1280_720	night->Day [98.0]
frame_8c3b9796e3f3574173b243182b80e013_1c10cbacc3f734c8ee44e2aa17ec9529_60000-1280_720	night->Day [78.0]
frame_6495b794f4d603a6e42abc9d56a72a2d_9f463e58eb782916534bb24d528e0866_0-1280_720	night->Day [122.0]
frame_2fe992018592a2befdc5cf2d180e08a6_d3f537fecee0d8978e7103e9c7efaddd_30000-1280_720	night->Day [97.0]
frame_53c2fe6073b86961cebc7366740786bd_472e1e884adfa638e90c407e4790fa3b_90000-1280_720	night->Day [146.0]
frame_9897bcd84de391cb65876fbf85343e0f_fc26ee39967ab1a53a5b8a15f5937cdf_30000-1280_720	night->Day [120.0]
frame_43447c096af2d83045acc9d010797618_48e5e7c39e80f9672d7379db984a6547_30000-1280_720	night->Day [93.0]
frame_7f7fac92437709a89b3d5130f03b3fd6_b8bd4618ef74044a89c3175c2c63e3d1_0-1280_720	night->Day [91.0]
frame_9e991099ad0b55fc1a574e739974ce8a_962d70522418acb7fe66b434a8cd430f_30000-1280_720	night->Day [120.0]
frame_37373c4ac50691cbf3347c578a38b616_9c1c03f11e4cfca40afd00363fc1432f_0-1280_720	night->Day [75.0]
frame_b7bdf46aeeabe21af2f0ad2a0932d40c_917bfbc7af401e452f1db320587cae1d_0-1280_720	night->Day [76.0]
frame_942225c415f5a43a0acefd7b99c7aab2_43a4d0c29f0b637351e6a684b7a30a52_60000-1280_720	night->Day [80.0]
frame_28798aa15ba86c0a2f4085d7decb939b_8e71ef0587f6fdea793f4bd0c9221b97_0-1280_720	night->Day [116.0]
frame_cd1466484cfe4b24f16972bf6060ad46_a5bdf708f55ab46af272c3be6c4bd9e8_30000-1280_720	night->Day [95.0]
frame_db540a82346640b13c8833a72e376843_a7e4be2f7da43c19d42111ed0b3c0e49_0-1280_720	night->Day [111.0]
frame_3f551f2e055e127be93889efea76d8f6_b253fe4b20cc62bcd5526596492ad7a1_90000-1280_720	night->Twilight [67.0]
frame_46569e56e00098afeb035e4278116486_417cc7566a5eb076059077aa71a974cf_0-1280_720	night->Day [78.0]
frame_a30aa076b108a245fa446c48b01d896b_bf4986f17b5b6d08b9c5468d88e1e3d8_0-1280_720	night->Day [127.0]
frame_c87aeb47e963da38381c45fc6720fb17_c29cdc3fd8260f5cb80531d8fc864225_90000-1280_720	night->Day [100.0]
frame_b4fab1a9c9edb366fb62978563db3598_f0403c670c580058fb8f9d2d0b437e41_30000-1280_720	night->Day [83.0]
frame_48489a0b6476d1f69a3e125006ac03cc_25683d8641af1085b6294f18b97369f2_0-1280_720	night->Day [104.0]
frame_aa274764eef88c046831e39b2b7b4b83_6b8dc0b24d0dc329d4ac7b4441b84c45_60000-1280_720	night->Day [113.0]
frame_a078e71f409d65e5a8372271f2e1b712_ac166ff9b5e3853e520c4108980c0546_0-1280_720	night->Day [85.0]
frame_f86f3271b61ebd9a76355520cf3a0cb5_e86435885e2897138ac4893658cb4ae6_30000-1280_720	night->Day [88.0]
frame_6eb79684e423b48253f5bba55af9d817_33af76a2fdde82bb35d736cd92a5bdea_30000-1280_720	night->Day [98.0]
frame_eaf81c0d4302c5eb9ab41eb6608f34db_6f2810678bc5f1f0c50c5d2bc71277b4_30000-1280_720	night->Day [91.0]
frame_ef1715650b78373c23972c9cd7a683e9_dafe1ab9111a94dd1a64a1f935062757_90000-1280_720	night->Day [138.0]
frame_71d7fc993bdea63a6002ce0345e23053_2823114a6b9768c581fefcb856517454_60000-1280_720	night->Day [126.0]
frame_ee5956b051a8f5b155d9af533abb688b_c1037215a37158dca544380f216f9c59_30000-1280_720	night->Day [134.0]
frame_de6a0b2e2326f92d6a7a8798cc799d6c_4bfe8778904ab690c3c7a1ced3f4c016_90000-1280_720	night->Day [101.0]
frame_551a6c23033746fe667be1192c2048fa_ee7179d2d5a36b5ba3623e8b07cf4c3f_90000-1280_720	night->Day [95.0]
frame_6f9f4f9aca5ed17c02c43aabe1148d83_ae16e48626c27be5724936c3a2ddc499_30000-1280_720	night->Day [142.0]
frame_36bbf12b4a692dfcb961b793dd298d41_979c1e2be68b36f1d7b690e6ed3ef569_90000-1280_720	night->Day [84.0]
frame_721bf6d92f5003364dd8f2f64b84e5ba_fc56a880d405fbc55a58298585793a98_60000-1280_720	night->Day [71.0]
frame_ec85072cf110197ece8b0643d1d0bdc2_42005320dda20b8ebc2d5b3d40577996_60000-1280_720	night->Day [83.0]
frame_26443ccedea8928b20d42c7137bb3b62_182c2ee0440795099d80f523fcb5ba62_60000-1280_720	night->Day [95.0]
frame_364031b125a6e4b6a3e3e6300faab0e2_c94c28766cd507ba83f3aba9fce27c3e_60000-1280_720	night->Twilight [62.0]
frame_920019e8d97e2e7fc2f3c3e863726ced_cbe50b8deca087c345831b1689ed1ca8_30000-1280_720	night->Day [70.0]
frame_7c111ad926da2619db1c4dca388eec5d_3f64f2e4e3482db27b047223174ee6b8_60000-1280_720	night->Day [74.0]
frame_7e4c65f7d1d4577b142b71a150fd70d7_6941846b03544dce70c7624f718050cb_0-1280_720	night->Day [146.0]
frame_85655778d87c1b675a80c84018168ece_1087d0c0cca78ccf795bd0bc9fafe6e4_60000-1280_720	night->Day [92.0]
frame_0ed4beeeab9fe36574d7165ca1bd1907_4e3dc348a902479d076d36405d578e02_60000-1280_720	night->Day [77.0]
frame_ee66fd6ed04dfea50f0fa6f60a47b8f7_83889c1ea54fc90bcbea3a13a73e73f7_60000-1280_720	night->Day [82.0]
frame_945aefd6ee3a961e822574c5f8702f18_5d561b939a4d45cc0c3596e5f6a51a45_60000-1280_720	night->Twilight [62.0]
frame_9251593672d610c2d3e93249c70c162f_93fb8944683c1437aa00a94a53cf330f_60000-1280_720	night->Twilight [68.0]
frame_43e172c5050a941a83c87b65c86d487f_15c26ce69d2d6cb31f7b1d0d6ee20a42_90000-1280_720	night->Day [72.0]
frame_315b0148ca115281495f0c22ecd23082_962875f87e11042c7d0aebad111a1219_30000-1280_720	night->Day [86.0]
frame_96d34c117ca9c41892a0646af5d0cdaa_4d817cdef56011cfec2e162778ec72ff_0-1280_720	night->Day [68.0]
frame_1f1057e2-6c6c-4f98-ae5f-9f819bf567ba_00000-1280_720	night->Day [93.0]
frame_a967f2aef7c4b9ace1d7a4d44a06791c_0ebd2574566ff6cb26af0fa7d88444aa_0-1280_720	night->Day [109.0]
frame_c1c85c635702fc13c9bb08f9ecdf97ba_053cc41d28588826cd770d40fd7b46b4_30000-1280_720	night->Day [92.0]
81b8e12d-8b1c-4744-87b3-a7bd7fa1410f.mov-0001	night->Day [84.0]
frame_ea4c1d61a374237b50047948920210dc_95b180d5c588d7ee280c56b450c6a15f_90000-1280_720	night->Day [85.0]
frame_a27cc58bd43574635265ab1877e3986f_4d85b8e4c54bbbd922cb9b9cca5b700e_0-1280_720	night->Day [90.0]
frame_7fd9f7cf21e87a797bf84a2116959bf6_62f5f3e74f31d93c884c43b4ff55ff4a_60000-1280_720	night->Day [101.0]
e3c0f1f9-7dcd-4b86-b798-c12055ee0c65.mov-0001	night->Day [116.0]
frame_4630f24695a28a2babdd6b1ad3996288_cc61b1c62d2cc4ff7ef3f4207832d68a_90000-1280_720	night->Day [129.0]
frame_b53053ced97dcfe2588007da7234c240_fb0f9d31052d3ea8da14af46c6e7016f_30000-1280_720	night->Day [74.0]
frame_acbc38aa600083cd76fb8f046b2ab057_91832e5c8cd95b9ed92d1a0409d05cf0_0-1280_720	night->Day [100.0]
frame_5347823673a3b9a5a8119f3ffde4d1fb_cdd065fa06bb3131fd79c13df1928b68_0-1280_720	night->Day [102.0]
frame_d00d5f8a44cf6b5cdf7031378292e094_3d6b2fd9b417e011955ebc6851cfe9ec_60000-1280_720	night->Day [97.0]
frame_717e8353af3f07970ef83460a29dda9b_88cb7d908fa6492d6d97b934aa65a4c7_0-1280_720	night->Twilight [65.0]
frame_ad4af7b4444a2e9f805ec965ae2c5bc7_b83efb02d97cf450a5034faacb259f56_60000-1280_720	night->Day [93.0]
frame_a78a7464-f5aa-449f-bed2-0175636cd38b_00000-1280_720	night->Day [121.0]
frame_7b8d6d9ffe401e99b1828642f9f03aa2_ccd8980fe7ff00e869179960faf72df1_90000-1280_720	night->Day [75.0]
frame_32bffbf8f8f6d0406c59088d210fa25c_c26f07466e45c7c8904f6425986e6983_90000-1280_720	night->Day [86.0]
frame_cc7822881438793849ce63c588b36d96_16c01b8f6bc8ebf47e838ca99780a93d_60000-1280_720	night->Twilight [66.0]
frame_a077a0cec9947faaefb20bd373ccab75_76b1f70baa403024c4eef56ffb72b749_30000-1280_720	night->Day [82.0]
frame_a1d78119-f5e6-4384-acf5-e9bc8ff21694_00000-1280_720	night->Day [71.0]
frame_6b32b5c50a3ac0ba543a54d06ba715fa_46732cab7c4acd12ea3f907301c06520_90000-1280_720	night->Day [111.0]
frame_f077e2492ce5d8fbe119638f251c7cfa_4c20dd091567fdafcdbcabf89ac75674_30000-1280_720	night->Day [132.0]
frame_5b304e08bf1a0dbd2be5722f87223107_72a591cf63d3f904ff3e9c887d4c5070_30000-1280_720	night->Day [129.0]
frame_8a9ff71b435cf1179839433e1676ac61_9fb967c79fe083d6e9bf67c5f8d9af20_90000-1280_720	night->Day [142.0]
incident-0-8b68c21a-7ca6-4a66-9f15-5b34a9e354f1.mp4-0001	night->Day [89.0]
frame_aa2103543498b49015b5a0f03ce77a75_ede7b330222db85948f18b60d34412dd_0-1280_720	night->Day [140.0]
frame_12fd86cd951e5b9d5e97ad41d33dd309_931dfd711a1bedbafa720f7f7fe3d5f4_30000-1280_720	night->Day [117.0]
frame_6cb0c361488fd82ac13b9148a25e8ea8_71eafae2d9f5392a8dfeebcddece807e_60000-1280_720	night->Day [127.0]
frame_238a3f054dea823fd3c381c72d779227_873712992ae8ada679c8f61b9d93afbe_60000-1280_720	night->Day [78.0]
frame_b69e22c9d6727128e61632cf64af879f_34e921aa999df17b1f2a2f1b8ed85257_0-1280_720	night->Day [99.0]
frame_b1c0cde56d496021d8919e62ada739c6_2e3e675079a555fca69b7a4144a5c46e_90000-1280_720	night->Day [137.0]
frame_615653d0eeb4665b09aa5d9ffefe642a_8a1dbcebc9de532289f8b79451f29f3c_0-1280_720	night->Day [88.0]
frame_eefd9733e7c740c1be6cf957b37dc843_8eed1f2f1a1d701aa136058b7d1e8d97_0-1280_720	night->Day [80.0]
frame_c5e4ce72869a224048fad1be9f69ac88_621ca8922a718929486e5afd2e1e5795_30000-1280_720	night->Day [96.0]
frame_5b102c22c17aed658e40edcbf1b19358_9704cfff8415f98f4cae9e5db45256af_0-1280_720	night->Twilight [67.0]
frame_ec9378a1a0a8c826a5e437d6f9ab1af7_cccf6140236b390b4b1d877cb78d4769_0-1280_720	night->Day [88.0]
frame_1e3c90f7777d81863da544c2ae9546de_223578bebfaa5e7e296a87278edb7e7a_60000-1280_720	night->Day [79.0]
frame_ca680cc061117216881ea8cb21041851_29aa63653c01793d26905b4fc2eeb701_0-1280_720	night->Day [105.0]
02dd3e5b-546e-4bf2-a172-135aa9c12877.mov-0001	night->Day [162.0]
frame_fdd3a572dd520e456f1f66f9930f882e_56b942ec49efddd1ea3819027cf89633_30000-1280_720	night->Day [112.0]
frame_4f8666a9c074b6257f3c370ce4dcb210_3917fd0633384e6a3cc2ee311505ec27_0-1280_720	night->Day [133.0]
frame_61439fd1d5c7adfe4180aa42c5c8133a_d0bda5f4444f980ac818447cd03babf6_60000-1280_720	night->Day [99.0]
frame_30616d7092c165ff0282ccb3e2372882_8694510ecb8f7e168a8e74351c44bbd5_0-1280_720	night->Day [106.0]
frame_c1a84ae19910a80c49e654bd7d750ec4_165f692b1954451830b2fb23a0da28c8_30000-1280_720	night->Day [83.0]
frame_b03965be0962ec09cc66a60eb3e1159f_4c7b8c802c8e86b94f455d513dbd8e0f_0-1280_720	night->Day [96.0]
frame_ddf0e15d2a75c4d864bd13ede4ed39ed_e9a21b6cf4a6c9fb94e07dcb09297d34_0-1280_720	night->Day [104.0]
frame_9ad22e1717e7490e3019b52b14508952_19e366305c5bbd114cd1a0d6b6b83bf5_90000-1280_720	night->Day [74.0]
frame_fc699453216b615c91229b70a6844e80_4310b24771f7d9ac4c63871a3e88431d_90000-1280_720	night->Day [86.0]
frame_a6148a14ab72e2ff2b92295258601dd8_abe55c89713a479b86f491a38e633afd_60000-1280_720	night->Day [70.0]
frame_408ef8e2be5fb6bafa44858ed0be2c7e_0386aaa5a1602b7ac751641079018cb1_0-1280_720	night->Day [120.0]
frame_cf5b1db4be10dd7bdc72e834edd0fb15_34e973255937b9c4eceadb1bcafbfb7c_30000-1280_720	night->Day [132.0]
6f7f5f1a-5fee-4f5f-80e2-50ceee8c56db.mov-0001	night->Day [76.0]
frame_b9e1b08527ff8805c6aa0ab51f66d825_221be3e9d4cf2d4cf45110e14d9e7667_90000-1280_720	night->Day [137.0]
frame_0cb3ff49bb3ec085b3cec1d02e4d91d9_130f6949df9fc9c4dced9e4c11044625_90000-1280_720	night->Day [115.0]
frame_974b13779297a796e5958eaf377cd665_c702024c0aac004e1764f5c99017317f_90000-1280_720	night->Day [90.0]
frame_1067d00ec542733600e6a2f5922a65b0_8a72c76cb5bb7e19046a6f85afeccae3_60000-1280_720	night->Twilight [61.0]
frame_cf5b1db4be10dd7bdc72e834edd0fb15_feb278dfb5dc54c118a1b48ce4c146b6_0-1280_720	night->Day [128.0]
frame_d4cd62a684322a5c2655b81a129592a5_113cc4a1598e472097d9ebea75c98119_90000-1280_720	night->Day [100.0]
frame_fe91b22e9aa44adff4a0150e42768162_f8fd956dadf6e09df0859d57dd5aa7dd_90000-1280_720	night->Day [99.0]
frame_03be5a1550c87ebefe639a97e87f642d_6f33798a6037f52f9b6cc08bac6410da_30000-1280_720	night->Day [79.0]
frame_4595203c-0356-48c0-adbf-2945b2bac2ba_00000-1280_720	night->Day [73.0]
frame_9d1f03c0ee829f990c1f105cb25b274a_f9bbc311da9f958f3b6352a5c5d7e2a1_30000-1280_720	night->Day [104.0]
frame_b1a136dd9da71dd88f5abba711146e97_fe924d2205bf1690e4e40c3aba5ab765_30000-1280_720	night->Day [85.0]
frame_a05aabf8bf14013bcfd3d88f4af11d71_1ea0a2d1d7d2f15de8df4332784605e3_0-1280_720	night->Day [96.0]
frame_dda217dd678b888e1d4d8545fa225914_16a6846fd07b048fbc760d65c6bd9325_90000-1280_720	night->Day [90.0]
frame_0a6fe6bc-2b67-4d18-b8e2-4cf05e57d003_00000-1280_720	night->Day [78.0]
frame_037578af404f2cc210729355d9f4f38d_0449ba747af6961b9f4a268e477a085b_0-1280_720	night->Day [103.0]
frame_18918291-e1d6-4be4-b328-f20ee0917c60_00000-1280_720	night->Day [93.0]
frame_3f551f2e055e127be93889efea76d8f6_c903deeb48c2c47009c5035947b7ef52_30000-1280_720	night->Twilight [67.0]
frame_dbd7e3d8-793e-4769-b01f-27a6a720dbe4_00001-1280_720	night->Day [79.0]
frame_03427d966771cd4cf6215983e4417fa0_821d494e0730b2974d2ffc9e7cc787cc_30000-1280_720	night->Day [128.0]
frame_51a94d0eec5d742ff3457210da635555_4f615de8a94aa3480a2812a8815b81c4_0-1280_720	night->Day [77.0]
frame_2d1c1006b567e91f32f2a8e85343975c_f46ab0407a84dfd8943258c6ac81228b_30000-1280_720	night->Day [82.0]
frame_6bbe9e4e25793949528f8cc879dd20fb_b24e1994ca260b6b5b4e5c27c83b1159_30000-1280_720	night->Day [74.0]
frame_ed33711f475d3c61b4155cfe955146fd_b35833bd1ee6988e6efce4695cb35c9b_0-1280_720	night->Twilight [65.0]
frame_2c7295ff0ae0f818097b3d872e255453_1d0cf9a1b5e6d0237861a0b9fc629089_30000-1280_720	night->Day [112.0]
frame_13b0b1d9d20189fadbeaec3637231005_13c2616a01bb1ae58da4d4fbe9f695df_0-1280_720	night->Day [132.0]
frame_ded274bf9383c72754cbcd09198209ec_bba38690360627d764c895e999cc8acd_90000-1280_720	night->Day [70.0]
frame_a27957bc3b6fcd1a81275c8e4d798e91_01c42982b247d2b0968746c4179cef04_0-1280_720	night->Twilight [63.0]
frame_59f77d88-5a3d-4e4c-9a29-3af9939cef0b_00000-1280_720	night->Twilight [60.0]
frame_6c992615ba04504b15546ea3444734df_cbae715282b12ee63355ebe6f668f1c5_90000-1280_720	night->Day [81.0]
frame_4be69a270d601df05b97a49238977c97_f8f4ea8590059c0f1f8a342f5be5f140_60000-1280_720	night->Day [91.0]
frame_c2a87aaa56a3542bb522f7021635cb13_16f4332a622a5f1128ee1b3dfcc5e5b5_30000-1280_720	night->Day [88.0]
frame_6cb0c361488fd82ac13b9148a25e8ea8_315c75ab04212acfac75cf90d712b64b_0-1280_720	night->Day [135.0]
f9dddd5f-47c4-457f-8e03-505762ec16b0.mov-0001	night->Day [121.0]
frame_1067d00ec542733600e6a2f5922a65b0_50e21a51832596ab4b343bf611e89647_30000-1280_720	night->Day [108.0]
frame_fc9a4a3d2f124c01deb0bf2e86f94cb3_79c05f24163eab2ca1faade3c2217af4_60000-1280_720	night->Day [73.0]
frame_0811c9d014a9c85b4636ac44e1602077_1509be4066a5135937e03dfe03f7839b_30000-1280_720	night->Day [87.0]
